Warehouse Location,Customer,Ship To Location,Sales Order Number,Salesperson,Customer PO Number,Commodity ID,Style ID,Size ID,Grade ID,Label ID,Region ID,Method ID,Storage ID,Color ID,Order Quantity,Sales Order Date,Ship Date
COBBLESTONE,"ANTLE MARKETING, INC.","BARDSTOWN, KY",368609,ALEX MARRIOTT,33675,NAVEL,CTN,088,CHOICE,,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,540,2024-10-31,2024-11-01
COBBLESTONE,"ANTLE MARKETING, INC.","BARDSTOWN, KY",368609,ALEX MARRIOTT,33675,NAVEL,CTN,113,FANCY,NO STICKER,USA,SCTN F NAV KRP,COBBLESTONE,REGULAR,162,2024-10-31,2024-11-01
COBBLESTONE,"ANTLE MARKETING, INC.","BARDSTOWN, KY",368609,ALEX MARRIOTT,33675,NAVEL,CTN,113,CHOICE,,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,324,2024-10-31,2024-11-01
COBBLESTONE,ASSOCIATED WHOLESALE GROCERS,"ST. CLOUD, MN",368147,DUNCAN MARRIOTT,160259042,MANDARIN,GIRO 10-3#,003,FANCY,,CHILE,ORIG CTN,COBBLESTONE,REGULAR,240,2024-10-28,2024-10-31
COBBLESTONE,"ATLANTIC FRESH TRADING, LLC.","CLARKS SUMMIT, PA",367369,ALEX MARRIOTT,67665,NAVEL,CTN,138,CHOICE,,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,0,2024-10-21,2024-10-31
COBBLESTONE,"ATLANTIC FRESH TRADING, LLC.","CLARKS SUMMIT, PA",368503,ALEX MARRIOTT,67813,NAVEL,CTN,113,FANCY,,USA,SCTN F NAV KRP,COBBLESTONE,REGULAR,1188,2024-10-30,2024-10-31
COBBLESTONE,"ATLANTIC FRESH TRADING, LLC.","CLARKS SUMMIT, PA",368586,ALEX MARRIOTT,67814,NAVEL,CTN,113,FANCY,NO STICKER,USA,SCTN F NAV KRP,COBBLESTONE,REGULAR,1188,2024-10-31,2024-10-31
COBBLESTONE,C.H. ROBINSON EDEN PRAIRIE,"LA CROSS, WI",368603,ALEX MARRIOTT,1411962,LEMON,CTN,095,FANCY,,USA,SCTN F LEM KRP,COBBLESTONE,REGULAR,108,2024-10-31,2024-10-31
COBBLESTONE,"CAPITOL CITY PRODUCE COMPANY, LLC","BATON ROUGE,  LA",367955,DUNCAN MARRIOTT,609676,GRAPEFRUIT,CTN,032,FANCY,,USA,SCTN GRPF KRP,KRPC SANGER,REGULAR,18,2024-10-25,2024-10-31
COBBLESTONE,"CAPITOL CITY PRODUCE COMPANY, LLC","BATON ROUGE,  LA",367955,DUNCAN MARRIOTT,609676,GRAPEFRUIT,CTN,048,FANCY,,USA,SCTN GRPF KRP,COBBLESTONE,REGULAR,54,2024-10-25,2024-10-31
COBBLESTONE,"CAPITOL CITY PRODUCE COMPANY, LLC","BATON ROUGE,  LA",367955,DUNCAN MARRIOTT,609676,LEMON,GIRO 18-2#,165,CHOICE,,USA,8 1/4 LEM KRP,COBBLESTONE,REGULAR,400,2024-10-25,2024-10-31
COBBLESTONE,"CAPITOL CITY PRODUCE COMPANY, LLC","BATON ROUGE,  LA",367955,DUNCAN MARRIOTT,609676,NAVEL,CTN,056,FANCY,,USA,SCTN F NAV KRP,COBBLESTONE,REGULAR,270,2024-10-25,2024-10-31
COBBLESTONE,"CAPITOL CITY PRODUCE COMPANY, LLC","BATON ROUGE,  LA",367955,DUNCAN MARRIOTT,609676,NAVEL,GIRO 12-3#,113,FANCY,HEIRLOOM,USA,7 7/8 HLM KRP,COBBLESTONE,REGULAR,240,2024-10-25,2024-10-31
COBBLESTONE,COSTCO WHOLESALE,"MIRALOMA, CA (#961)",103510,JOEL YEARY,009611022459,MANDARIN,GIRO 6-5#,04B,FANCY,FRUIT STAND,CHILE,ORIG CTN,COBBLESTONE,CHEP,1200,2024-10-22,2024-11-01
COBBLESTONE,COSTCO WHOLESALE,"MIRALOMA, CA (#961)",103511,JOEL YEARY,009611022458,MANDARIN,GIRO 6-5#,04B,FANCY,FRUIT STAND,CHILE,ORIG CTN,COBBLESTONE,CHEP,1200,2024-10-22,2024-10-31
COBBLESTONE,COSTCO WHOLESALE,"TRACY, CA (#172)",367096,JOEL YEARY,001721015426,GRAPEFRUIT,FOX 8-5#,048,FANCY,,USA,9 3/4 GRPF KRP,COBBLESTONE,CHEP,600,2024-10-15,2024-10-31
COBBLESTONE,COSTCO WHOLESALE,"VAN BUREN, MI (WET)",367675,JOEL YEARY,012041023040,NAVEL,FOX 4-8#,113,FANCY,,USA,7 3/8 ORN KRP,COBBLESTONE,CHEP,1000,2024-10-23,2024-11-01
COBBLESTONE,CUSTOM PRODUCE SALES,"HUNTSVILLE, TX",367648,ALEX MARRIOTT,554360,NAVEL,CTN,138,CHOICE,,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,1026,2024-10-23,2024-10-31
COBBLESTONE,CUSTOM PRODUCE SALES,"HUNTSVILLE, TX",367650,ALEX MARRIOTT,554361,NAVEL,CTN,138,CHOICE,,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,270,2024-10-23,2024-10-31
COBBLESTONE,CUSTOM PRODUCE SALES,"HUNTSVILLE, TX",367650,ALEX MARRIOTT,554361,NAVEL,CTN,163,CHOICE,,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,54,2024-10-23,2024-10-31
COBBLESTONE,FARMS CO II USA,KINGS RIVER PACKING,367594,JOEL YEARY,103510/50613,MANDARIN,GIRO 6-5#,04B,FANCY,FRUIT STAND,CHILE,ORIG CTN,COBBLESTONE,CHEP,1200,2024-10-22,2024-11-01
COBBLESTONE,FARMS CO II USA,KINGS RIVER PACKING,367595,JOEL YEARY,103511/50614,MANDARIN,GIRO 6-5#,04B,FANCY,FRUIT STAND,CHILE,ORIG CTN,COBBLESTONE,CHEP,1200,2024-10-22,2024-10-31
COBBLESTONE,FRESH TASTE PRODUCE LTD CANADA,"TORONTO, ONTARIO",368408,DUNCAN MARRIOTT,215279,NAVEL,CTN,113,CHOICE,NO STICKER,USA,SCTN C NAV KRP,COBBLESTONE,CHEP,1080,2024-10-30,2024-10-31
COBBLESTONE,GELSON'S MARKETS,"LOS ANGELES, CA",368612,DUNCAN MARRIOTT,496438,MANDARIN,GIRO 10-3#,002,FANCY,POPPIES,CHILE,ORIG CTN,COBBLESTONE,REGULAR,120,2024-10-31,2024-10-31
COBBLESTONE,"GOLD STAR FOODS, INC.","ONTARIO, CA",368318,SETH NORDELL,489925,MANDARIN,25# CTN,024,FANCY,NO STICKER,USA,HBSH MAND POPI,COBBLESTONE,REGULAR,1440,2024-10-29,2024-10-31
COBBLESTONE,"GOLD STAR FOODS, INC.","ONTARIO, CA",368318,SETH NORDELL,489925,NAVEL,CTN,113,FANCY,,USA,SCTN F NAV KRP,COBBLESTONE,REGULAR,1,2024-10-29,2024-10-31
COBBLESTONE,"GOLD STAR FOODS, INC.","ONTARIO, CA",368318,SETH NORDELL,489925,NAVEL,CTN,138,FANCY,,USA,SCTN F NAV KRP,COBBLESTONE,REGULAR,1,2024-10-29,2024-10-31
COBBLESTONE,"GRAPEMAN FARMS, LP","LOS ANGELES, CA",368533,MARTIN GARCIA,2450653,NAVEL,CTN,088,CHOICE,,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,378,2024-10-30,2024-10-31
COBBLESTONE,H.E. BUTT GROCERY CO.,"TEMPLE, TX",368178,ALEX MARRIOTT,OFX51X427378,NAVEL,CTN,072,FANCY,,USA,RPC 6419,COBBLESTONE,CHEP,180,2024-10-28,2024-10-31
COBBLESTONE,H.E. BUTT GROCERY CO.,"TEMPLE, TX",368178,ALEX MARRIOTT,OFX51X427378,NAVEL,CTN,113,FANCY,,USA,RPC 6419,COBBLESTONE,CHEP,135,2024-10-28,2024-10-31
COBBLESTONE,H.E. BUTT GROCERY CO.,"TEMPLE, TX",368178,ALEX MARRIOTT,OFX51X427378,NAVEL,GIRO 10-4#,113,CHOICE,,USA,RPC 6423,COBBLESTONE,CHEP,200,2024-10-28,2024-10-31
COBBLESTONE,"KINGS RIVER PACKING, LP",COBBLESTONE,366792,KINGS RIVER PACKING,PRESCOTT SAMPLE,MANDARIN,GIRO 6-5#,005,FANCY,POPPIES,CHILE,ORIG CTN,COBBLESTONE,REGULAR,2,2024-10-09,2024-10-31
COBBLESTONE,"KINGS RIVER PACKING, LP",COBBLESTONE,368370,KINGS RIVER PACKING,WINCO SAMPLE,MANDARIN,GIRO 10-2#,032,FANCY,,USA,5 1/4 KRAFT,COBBLESTONE,REGULAR,1,2024-10-29,2024-10-31
COBBLESTONE,"KINGS RIVER PACKING, LP",COBBLESTONE,368370,KINGS RIVER PACKING,WINCO SAMPLE,NAVEL,CTN,048,FANCY,,USA,SCTN F NAV KRP,COBBLESTONE,REGULAR,1,2024-10-29,2024-10-31
COBBLESTONE,"KINGS RIVER PACKING, LP",COBBLESTONE,368370,KINGS RIVER PACKING,WINCO SAMPLE,NAVEL,CTN,056,FANCY,,USA,SCTN F NAV KRP,COBBLESTONE,REGULAR,1,2024-10-29,2024-10-31
COBBLESTONE,"KINGS RIVER PACKING, LP",COBBLESTONE,368370,KINGS RIVER PACKING,WINCO SAMPLE,NAVEL,GIRO 10-4#,088,FANCY,,USA,BAGMAS MED,COBBLESTONE,REGULAR,1,2024-10-29,2024-10-31
COBBLESTONE,"KINGS RIVER PACKING, LP",MARKETING,368252,KINGS RIVER PACKING,SAMPLE- INDRIO,GRAPEFRUIT,CTN,040,FANCY,,USA,CTN,COBBLESTONE,,1,2024-10-29,2024-10-31
COBBLESTONE,"KINGS RIVER PACKING, LP",MARKETING,368252,KINGS RIVER PACKING,SAMPLE- INDRIO,MANDARIN,25# CTN,001,FANCY,POPPIES,USA,HBSH MAND POPI,COBBLESTONE,,1,2024-10-29,2024-10-31
COBBLESTONE,"KINGS RIVER PACKING, LP",MARKETING,368252,KINGS RIVER PACKING,SAMPLE- INDRIO,NAVEL,CTN,072,FANCY,,USA,CTN,COBBLESTONE,,1,2024-10-29,2024-10-31
COBBLESTONE,KROGER,"COLUMBUS- DELAWARE,OH",368146,PRESCOTT LEYBA,16857741,LEMON,CTN,075,FANCY,,USA,RPC 6419,COBBLESTONE,CHEP,240,2024-10-28,2024-10-31
COBBLESTONE,KROGER,"COLUMBUS- DELAWARE,OH",368146,PRESCOTT LEYBA,16857741,LEMON,FOX 18-2#,165,FANCY,KROGER,USA,RPC 6423,COBBLESTONE,CHEP,105,2024-10-28,2024-10-31
COBBLESTONE,KROGER,"FORT GILLEM - FOREST PARK, GA",368144,PRESCOTT LEYBA,11896005,LEMON,CTN,115,FANCY,,USA,RPC 6419,COBBLESTONE,CHEP,200,2024-10-28,2024-10-31
COBBLESTONE,KROGER,"FORT GILLEM - FOREST PARK, GA",368144,PRESCOTT LEYBA,11896005,LEMON,FOX 18-2#,095,FANCY,KROGER,USA,RPC 6423,COBBLESTONE,CHEP,192,2024-10-28,2024-10-31
COBBLESTONE,LA BODEGA PRODUCE,"DALLAS, TX",368251,PRESCOTT LEYBA,030335-1,MANDARIN,15KG,001,FANCY,,CHILE,ORIG CTN,COBBLESTONE,REGULAR,1200,2024-10-29,2024-11-01
COBBLESTONE,LA BODEGA PRODUCE,"DALLAS, TX",368253,PRESCOTT LEYBA,030340-1,NAVEL,CTN,113,FANCY,,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,1080,2024-10-29,2024-11-01
COBBLESTONE,"MARKON COOPERATIVE, INC.","ABERDEEN, MD",368435,SETH NORDELL,U106650P22,NAVEL,5# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,5,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","ALBUQUERQUE, NM",368597,SETH NORDELL,U110060P05,LEMON,CTN,115,CHOICE,ESS,USA,SCTN C CT ESS,COBBLESTONE,REGULAR,18,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","BRIGHTON, MI",368289,SETH NORDELL,U104900P09,LEMON,10# CARTON,140,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,90,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","BRIGHTON, MI",368293,SETH NORDELL,U104910P01,MANDARIN,15.5KG,003,FANCY,POPPIES,CHILE,ORIG CTN,COBBLESTONE,,425,2024-10-29,2024-11-01
COBBLESTONE,"MARKON COOPERATIVE, INC.","BRIGHTON, MI",368293,SETH NORDELL,U104910P01,NAVEL,CTN,072,FANCY,MFC,USA,CTN,COBBLESTONE,REGULAR,36,2024-10-29,2024-11-01
COBBLESTONE,"MARKON COOPERATIVE, INC.","BRIGHTON, MI",368293,SETH NORDELL,U104910P01,NAVEL,CTN,088,FANCY,MFC,USA,CTN,COBBLESTONE,REGULAR,108,2024-10-29,2024-11-01
COBBLESTONE,"MARKON COOPERATIVE, INC.","BRIGHTON, MI",368293,SETH NORDELL,U104910P01,NAVEL,CTN,138,CHOICE,ESS,USA,SCTN C CT ESS,COBBLESTONE,REGULAR,0,2024-10-29,2024-11-01
COBBLESTONE,"MARKON COOPERATIVE, INC.","BRIGHTON, MI",368293,SETH NORDELL,U104910P01,NAVEL,5# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,51,2024-10-29,2024-11-01
COBBLESTONE,"MARKON COOPERATIVE, INC.","CONCORD, NC",368631,SETH NORDELL,U111360P21,LEMON,10# CARTON,140,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,12,2024-10-31,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","CONCORD, NC",368631,SETH NORDELL,U111360P21,NAVEL,CTN,113,FANCY,MFC,USA,SCTN F CT MFC,COBBLESTONE,REGULAR,18,2024-10-31,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","CONCORD, NC",368631,SETH NORDELL,U111360P21,NAVEL,10# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,20,2024-10-31,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","COPPELL, TX",368291,SETH NORDELL,U104840P07,NAVEL,CTN,113,CHOICE,ESS,USA,SCTN C CT ESS,COBBLESTONE,REGULAR,27,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","COPPELL, TX",368291,SETH NORDELL,U104840P07,NAVEL,CTN,138,CHOICE,ESS,USA,SCTN C CT ESS,COBBLESTONE,REGULAR,18,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","COPPELL, TX",368291,SETH NORDELL,U104840P07,NAVEL,10# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,17,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","COPPELL, TX",368434,SETH NORDELL,U107310P07,LEMON,10# CARTON,140,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,22,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","COPPELL, TX",368434,SETH NORDELL,U107310P07,NAVEL,CTN,138,CHOICE,ESS,USA,SCTN C CT ESS,COBBLESTONE,REGULAR,18,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","COPPELL, TX",368434,SETH NORDELL,U107310P07,NAVEL,10# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,17,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","DELTA, BC",368218,SETH NORDELL,U103590P01,LEMON,10# CARTON,115,CHOICE,ESS,USA,CPK C CT ESS,COBBLESTONE,REGULAR,30,2024-10-28,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","DELTA, BC",368403,SETH NORDELL,U106910P03,LEMON,10# CARTON,115,CHOICE,ESS,USA,CPK C CT ESS,COBBLESTONE,REGULAR,30,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","EDMONTON, AB",368140,SETH NORDELL,U102800P03,LEMON,10# CARTON,140,CHOICE,ESS,USA,CPK C CT ESS,COBBLESTONE,REGULAR,10,2024-10-28,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","EDMONTON, AB",368404,SETH NORDELL,U106840P02,LEMON,10# CARTON,140,CHOICE,ESS,USA,CPK C CT ESS,COBBLESTONE,REGULAR,15,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","EDMONTON, AB",368610,SETH NORDELL,U109130P03,LEMON,10# CARTON,140,CHOICE,,USA,CPK C CT ESS,COBBLESTONE,REGULAR,20,2024-10-30,2024-11-01
COBBLESTONE,"MARKON COOPERATIVE, INC.",HOUSTON TX,368290,SETH NORDELL,U104850P07,NAVEL,CTN,088,CHOICE,ESS,USA,SCTN C CT ESS,COBBLESTONE,REGULAR,18,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.",HOUSTON TX,368290,SETH NORDELL,U104850P07,NAVEL,CTN,113,CHOICE,ESS,USA,SCTN C CT ESS,COBBLESTONE,REGULAR,18,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.",HOUSTON TX,368290,SETH NORDELL,U104850P07,NAVEL,10# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,17,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.",HOUSTON TX,368433,SETH NORDELL,U107320P10,LEMON,10# CARTON,140,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,17,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.",HOUSTON TX,368433,SETH NORDELL,U107320P10,MANDARIN,15.5KG,003,FANCY,POPPIES,CHILE,ORIG CTN,COBBLESTONE,REGULAR,16,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.",HOUSTON TX,368433,SETH NORDELL,U107320P10,NAVEL,10# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,34,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","IMPERIAL, PA",368413,SETH NORDELL,U107420P03,LEMON,10# CARTON,140,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,34,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","IMPERIAL, PA",368414,SETH NORDELL,U107410P01,MANDARIN,15.5KG,003,FANCY,POPPIES,CHILE,ORIG CTN,COBBLESTONE,REGULAR,30,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","IMPERIAL, PA",368414,SETH NORDELL,U107410P01,NAVEL,CTN,072,FANCY,MFC,USA,CTN,COBBLESTONE,REGULAR,18,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","IMPERIAL, PA",368414,SETH NORDELL,U107410P01,NAVEL,CTN,088,FANCY,MFC,USA,CTN,COBBLESTONE,REGULAR,54,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","IMPERIAL, PA",368414,SETH NORDELL,U107410P01,NAVEL,5# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,30,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","IMPERIAL, PA",368621,SETH NORDELL,U110910P01,MANDARIN,15.5KG,003,FANCY,POPPIES,CHILE,ORIG CTN,COBBLESTONE,,30,2024-10-31,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","IMPERIAL, PA",368621,SETH NORDELL,U110910P01,NAVEL,CTN,072,FANCY,MFC,USA,SCTN F CT MFC,COBBLESTONE,REGULAR,36,2024-10-31,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","IMPERIAL, PA",368621,SETH NORDELL,U110910P01,NAVEL,CTN,088,FANCY,MFC,USA,SCTN F CT MFC,COBBLESTONE,REGULAR,27,2024-10-31,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","IMPERIAL, PA",368621,SETH NORDELL,U110910P01,NAVEL,5# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,45,2024-10-31,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","IMPERIAL, PA",368630,SETH NORDELL,U110920P03,LEMON,10# CARTON,140,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,34,2024-10-31,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","KENOSHA, WI",368292,SETH NORDELL,U104780P13,LEMON,10# CARTON,140,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,51,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","LITHIA SPRINGS, GA",368286,SETH NORDELL,U105560P11,NAVEL,CTN,088,FANCY,MFC,USA,CTN,COBBLESTONE,REGULAR,9,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","LITHIA SPRINGS, GA",368286,SETH NORDELL,U105560P11,NAVEL,CTN,113,FANCY,MFC,USA,CTN,COBBLESTONE,REGULAR,9,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","LITHIA SPRINGS, GA",368286,SETH NORDELL,U105560P11,NAVEL,CTN,138,FANCY,MFC,USA,CTN,COBBLESTONE,REGULAR,12,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","LITHIA SPRINGS, GA",368286,SETH NORDELL,U105560P11,NAVEL,5# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,32,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","LITHIA SPRINGS, GA",368432,SETH NORDELL,U107700P13,LEMON,10# CARTON,140,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,32,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","LITHIA SPRINGS, GA",368432,SETH NORDELL,U107700P13,NAVEL,CTN,088,FANCY,MFC,USA,CTN,COBBLESTONE,REGULAR,18,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","LITHIA SPRINGS, GA",368432,SETH NORDELL,U107700P13,NAVEL,CTN,138,CHOICE,ESS,USA,SCTN C CT ESS,COBBLESTONE,REGULAR,27,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","LITHIA SPRINGS, GA",368432,SETH NORDELL,U107700P13,NAVEL,5# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,16,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","MIAMI, FL",368606,SETH NORDELL,U110860P07,NAVEL,5# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,15,2024-10-31,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","MISSOURI CITY, TX",368608,SETH NORDELL,U111130P06,NAVEL,CTN,088,FANCY,MFC,USA,SCTN F CT MFC,COBBLESTONE,REGULAR,18,2024-10-31,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","MISSOURI CITY, TX",368608,SETH NORDELL,U111130P06,NAVEL,CTN,138,CHOICE,ESS,USA,SCTN C CT ESS,COBBLESTONE,REGULAR,9,2024-10-31,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","PLANT CITY, FL",368431,SETH NORDELL,U108260P13,LEMON,10# CARTON,140,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,34,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","PLANT CITY, FL",368431,SETH NORDELL,U108260P13,MANDARIN,15.5KG,003,FANCY,POPPIES,CHILE,ORIG CTN,COBBLESTONE,REGULAR,10,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","PLANT CITY, FL",368431,SETH NORDELL,U108260P13,NAVEL,5# CARTON,088,FANCY,MFC,USA,CPK F CT MFC,COBBLESTONE,REGULAR,34,2024-10-30,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","RICHMOND, BC",368285,SETH NORDELL,U105080P01,NAVEL,CTN,056,CHOICE,,USA,CTN,COBBLESTONE,REGULAR,108,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","RICHMOND, BC",368285,SETH NORDELL,U105080P01,NAVEL,CTN,113,CHOICE,ESS,USA,CTN,COBBLESTONE,REGULAR,162,2024-10-29,2024-10-31
COBBLESTONE,"MARKON COOPERATIVE, INC.","ROCKY VIEW COUNTY, ALBERTA",368295,SETH NORDELL,U104410P03,LEMON,10# CARTON,140,CHOICE,,USA,CPK C CT ESS,COBBLESTONE,REGULAR,15,2024-10-28,2024-11-01
